iter,sf,qid,itype,prob,incremental,use_duckdb,is_scalar,prune,num_threads,distinct,batch,post_time,gen_time,prep_time,compile_time,eval_time,prune_time,lineage_time,ksemimodule_timing,spec,lineage_count,lineage_count_prune,lineage_size_mb,lineage_size_mb_prune,use_gb_backward_lineage,code_gen_time,data_time
1,1.0,7,DENSE_DELETE,0.02,false,false,true,true,1,1,4,0.485988,0.000272,0.00065,1.06709,3.9e-05,0.009169,0.063745,1.003169298171997,,8817246,50002,33.635124,0.190742,false,2.5e-05,0.000903
2,1.0,7,DENSE_DELETE,0.02,false,false,true,true,1,1,4,0.504615,0.000269,0.000397,1.061857,3.8e-05,0.009127,0.063878,0.9857220649719238,,8817246,50002,33.635124,0.190742,false,2.8e-05,0.001212
1,1.0,7,DENSE_DELETE,0.05,false,false,true,true,1,1,4,0.496555,0.000283,0.000388,1.057159,3.7e-05,0.009106,0.064155,0.9893543720245361,,8817246,50002,33.635124,0.190742,false,2.7e-05,0.001175
2,1.0,7,DENSE_DELETE,0.05,false,false,true,true,1,1,4,0.490883,0.000265,0.000813,1.061995,4.3e-05,0.009105,0.064448,0.9756462574005127,,8817246,50002,33.635124,0.190742,false,2.6e-05,0.000778
1,1.0,7,DENSE_DELETE,0.1,false,false,true,true,1,1,4,0.488912,0.000269,0.000412,1.063361,3.8e-05,0.00917,0.064227,0.9835896492004395,,8817246,50002,33.635124,0.190742,false,3.7e-05,0.001165
2,1.0,7,DENSE_DELETE,0.1,false,false,true,true,1,1,4,0.50187,0.000266,0.0011,1.067739,3.8e-05,0.009151,0.064293,0.9811708927154541,,8817246,50002,33.635124,0.190742,false,2.6e-05,0.000457
1,1.0,7,DENSE_DELETE,0.2,false,false,true,true,1,1,4,0.504063,0.000271,0.001354,1.065474,3.9e-05,0.009139,0.064429,0.9839577674865723,,8817246,50002,33.635124,0.190742,false,2.5e-05,0.00022
2,1.0,7,DENSE_DELETE,0.2,false,false,true,true,1,1,4,0.49317,0.00027,0.000627,1.076911,3.7e-05,0.00916,0.063825,0.9912567138671875,,8817246,50002,33.635124,0.190742,false,2.6e-05,0.000976
1,1.0,7,DENSE_DELETE,0.3,false,false,true,true,1,1,4,0.493221,0.000269,0.001263,1.05713,3.8e-05,0.009147,0.064017,0.9772059917449951,,8817246,50002,33.635124,0.190742,false,2.5e-05,0.000344
2,1.0,7,DENSE_DELETE,0.3,false,false,true,true,1,1,4,0.496949,0.000279,0.001083,1.064356,3.7e-05,0.009172,0.064095,0.9769449234008789,,8817246,50002,33.635124,0.190742,false,2.9e-05,0.000524
1,1.0,7,DENSE_DELETE,0.4,false,false,true,true,1,1,4,0.498499,0.000276,0.000803,1.061077,3.7e-05,0.009141,0.064779,0.9870593547821045,,8817246,50002,33.635124,0.190742,false,3.2e-05,0.000787
2,1.0,7,DENSE_DELETE,0.4,false,false,true,true,1,1,4,0.495139,0.000266,0.001518,1.064773,3.7e-05,0.009077,0.06439,0.9778501987457275,,8817246,50002,33.635124,0.190742,false,2.4e-05,4.3e-05
1,1.0,7,DENSE_DELETE,0.5,false,false,true,true,1,1,4,0.512371,0.000261,0.00085,1.05566,4e-05,0.009104,0.064291,0.9843447208404541,,8817246,50002,33.635124,0.190742,false,2.7e-05,0.000716
2,1.0,7,DENSE_DELETE,0.5,false,false,true,true,1,1,4,0.499936,0.000269,0.001202,1.058379,3.8e-05,0.009159,0.064087,0.9813482761383057,,8817246,50002,33.635124,0.190742,false,2.5e-05,0.00035
1,1.0,9,DENSE_DELETE,0.001,false,false,true,true,1,1,4,0.073844,0.010448,0.003118,1.064641,0.001061,0.339042,0.0616,0.9520614147186279,,9575428,1734061,36.527359,6.614918,false,4.1e-05,0.001774
2,1.0,9,DENSE_DELETE,0.001,false,false,true,true,1,1,4,0.073364,0.010474,0.00314,1.0634,0.001033,0.334961,0.061103,0.9657406806945801,,9575428,1734061,36.527359,6.614918,false,3.1e-05,0.00176
1,1.0,9,DENSE_DELETE,0.002,false,false,true,true,1,1,4,0.072956,0.010408,0.003129,1.066601,0.001082,0.337688,0.061463,0.9546875953674316,,9575428,1734061,36.527359,6.614918,false,3e-05,0.001742
2,1.0,9,DENSE_DELETE,0.002,false,false,true,true,1,1,4,0.072933,0.01052,0.003113,1.068842,0.001046,0.334847,0.061338,0.9717705249786377,,9575428,1734061,36.527359,6.614918,false,2.9e-05,0.001765
1,1.0,9,DENSE_DELETE,0.005,false,false,true,true,1,1,4,0.075022,0.010439,0.003143,1.060555,0.001031,0.337225,0.061711,0.9670100212097168,,9575428,1734061,36.527359,6.614918,false,3.1e-05,0.001747
2,1.0,9,DENSE_DELETE,0.005,false,false,true,true,1,1,4,0.074205,0.010421,0.003168,1.057268,0.001081,0.337039,0.061456,0.9636456966400146,,9575428,1734061,36.527359,6.614918,false,3.2e-05,0.001744
1,1.0,9,DENSE_DELETE,0.01,false,false,true,true,1,1,4,0.073562,0.010415,0.003137,1.073231,0.001049,0.339894,0.062132,0.9541895389556885,,9575428,1734061,36.527359,6.614918,false,3.2e-05,0.001767
2,1.0,9,DENSE_DELETE,0.01,false,false,true,true,1,1,4,0.073021,0.010421,0.003129,1.082857,0.001079,0.337442,0.061041,0.9596331119537354,,9575428,1734061,36.527359,6.614918,false,3.1e-05,0.001766
1,1.0,9,DENSE_DELETE,0.02,false,false,true,true,1,1,4,0.077332,0.010425,0.003184,1.057181,0.001032,0.338576,0.06173,0.9625966548919678,,9575428,1734061,36.527359,6.614918,false,3.2e-05,0.001777
2,1.0,9,DENSE_DELETE,0.02,false,false,true,true,1,1,4,0.072637,0.010425,0.003139,1.108502,0.00109,0.337663,0.061273,0.9658055305480957,,9575428,1734061,36.527359,6.614918,false,3.9e-05,0.001772
1,1.0,9,DENSE_DELETE,0.05,false,false,true,true,1,1,4,0.072077,0.01042,0.003132,1.068195,0.001034,0.339153,0.061575,0.9617769718170166,,9575428,1734061,36.527359,6.614918,false,3.1e-05,0.001761
2,1.0,9,DENSE_DELETE,0.05,false,false,true,true,1,1,4,0.074158,0.010534,0.003145,1.060077,0.00106,0.335437,0.061359,0.9608457088470459,,9575428,1734061,36.527359,6.614918,false,3.1e-05,0.001744
1,1.0,9,DENSE_DELETE,0.1,false,false,true,true,1,1,4,0.075013,0.010428,0.003128,1.060814,0.001103,0.33714,0.060929,0.9566330909729004,,9575428,1734061,36.527359,6.614918,false,3e-05,0.001757
2,1.0,9,DENSE_DELETE,0.1,false,false,true,true,1,1,4,0.075607,0.010394,0.003128,1.061096,0.001058,0.336294,0.061055,0.9665272235870361,,9575428,1734061,36.527359,6.614918,false,3.1e-05,0.001773
1,1.0,9,DENSE_DELETE,0.2,false,false,true,true,1,1,4,0.074911,0.010439,0.003214,1.110591,0.00105,0.338649,0.061703,0.9578433036804199,,9575428,1734061,36.527359,6.614918,false,3.5e-05,0.001739
2,1.0,9,DENSE_DELETE,0.2,false,false,true,true,1,1,4,0.072697,0.010476,0.003094,1.061355,0.001041,0.337327,0.061503,0.9699728488922119,,9575428,1734061,36.527359,6.614918,false,3e-05,0.001747
