sf,qid,itype,prob,incremental,use_duckdb,is_scalar,prune,num_threads,distinct,batch,post_time,gen_time,prep_time,compile_time,eval_time,prune_time,lineage_time,ksemimodule_timing,spec,lineage_count,lineage_count_prune,lineage_size_mb,lineage_size_mb_prune,use_gb_backward_lineage
1.0,9,DENSE_DELETE,0.1,false,false,true,false,8,1,4,4e-06,1.232527,0.028916,1.338879,0.002031,0.0,0.061144,1.0789673328399658,,9575428,9575428,36.527359,36.527359,false
1.0,10,DENSE_DELETE,0.1,false,false,true,false,8,1,4,4e-06,1.061299,0.006695,1.261619,0.001787,0.0,0.072723,0.8288323879241943,,2122441,2122441,8.09647,8.09647,true
1.0,10,DENSE_DELETE,0.1,false,false,true,false,8,1,4,4e-06,1.099169,0.00642,1.258928,0.001502,0.0,0.044369,0.831742525100708,,2122441,2122441,8.09647,8.09647,false
1.0,12,DENSE_DELETE,0.1,false,false,true,false,8,1,4,4e-06,1.140558,0.008067,1.24182,0.000841,0.0,0.014193,0.2752664089202881,,2478737,2478737,9.455631,9.455631,true
1.0,12,DENSE_DELETE,0.1,false,false,true,false,8,1,4,3e-06,1.085754,0.007993,1.235888,0.000881,0.0,0.014048,0.2705721855163574,,2478737,2478737,9.455631,9.455631,false
1.0,1,DENSE_DELETE,0.1,false,false,true,true,1,64,4,3e-06,0.099299,0.344416,1.203185,0.379341,0.0,0.078383,1.7290794849395752,,11833182,11833182,45.140007,45.140007,true
1.0,1,DENSE_DELETE,0.1,false,false,true,true,1,64,4,3e-06,0.099351,0.344741,1.18248,0.376168,0.0,0.044588,1.7296397686004639,,11833182,11833182,45.140007,45.140007,false
1.0,3,DENSE_DELETE,0.1,false,false,true,true,1,64,4,4e-06,0.000801,0.00193,1.178405,0.001261,0.0131,0.038078,0.3751661777496338,,4237529,132083,16.16489,0.503857,true
1.0,3,DENSE_DELETE,0.1,false,false,true,true,1,64,4,3e-06,0.000807,0.001662,1.165777,0.001138,0.01301,0.028626,0.37419629096984863,,4237529,132083,16.16489,0.503857,false
1.0,5,DENSE_DELETE,0.1,false,false,true,true,1,64,4,5e-06,0.000421,0.000467,1.198817,0.000296,0.010505,0.03288,0.39853358268737793,,6693785,60951,25.534763,0.23251,true
1.0,5,DENSE_DELETE,0.1,false,false,true,true,1,64,4,6e-06,0.0004,0.000496,1.183653,0.000291,0.010572,0.033166,0.39897894859313965,,6693785,60951,25.534763,0.23251,false
1.0,7,DENSE_DELETE,0.1,false,false,true,true,1,64,4,5e-06,0.000335,0.001766,1.191698,0.000239,0.009309,0.067481,1.5437953472137451,,8817246,50002,33.635124,0.190742,true
